,STATION_NAME,DATE,PRCP,SNWD,SNOW,Precip,dateCol
237,NEW YORK LAGUARDIA AIRPORT NY US,20140223,0,0,0,0,2014-02-23
238,NEW YORK LAGUARDIA AIRPORT NY US,20140224,0,0,0,0,2014-02-24
239,NEW YORK LAGUARDIA AIRPORT NY US,20140225,0,0,0,0,2014-02-25
240,NEW YORK LAGUARDIA AIRPORT NY US,20140226,3,0,5,1,2014-02-26
241,NEW YORK LAGUARDIA AIRPORT NY US,20140227,0,0,0,0,2014-02-27
242,NEW YORK LAGUARDIA AIRPORT NY US,20140228,0,0,0,0,2014-02-28
243,NEW YORK LAGUARDIA AIRPORT NY US,20140301,0,0,0,0,2014-03-01
244,NEW YORK LAGUARDIA AIRPORT NY US,20140302,0,0,0,0,2014-03-02
245,NEW YORK LAGUARDIA AIRPORT NY US,20140303,3,0,10,1,2014-03-03
246,NEW YORK LAGUARDIA AIRPORT NY US,20140304,0,0,0,0,2014-03-04
247,NEW YORK LAGUARDIA AIRPORT NY US,20140305,0,0,0,0,2014-03-05
248,NEW YORK LAGUARDIA AIRPORT NY US,20140306,0,0,0,0,2014-03-06
249,NEW YORK LAGUARDIA AIRPORT NY US,20140307,0,0,0,0,2014-03-07
250,NEW YORK LAGUARDIA AIRPORT NY US,20140308,0,0,0,0,2014-03-08
251,NEW YORK LAGUARDIA AIRPORT NY US,20140309,0,0,0,0,2014-03-09
252,NEW YORK LAGUARDIA AIRPORT NY US,20140310,0,0,0,0,2014-03-10
253,NEW YORK LAGUARDIA AIRPORT NY US,20140311,0,0,0,0,2014-03-11
254,NEW YORK LAGUARDIA AIRPORT NY US,20140312,89,0,0,1,2014-03-12
255,NEW YORK LAGUARDIA AIRPORT NY US,20140313,0,0,0,0,2014-03-13
256,NEW YORK LAGUARDIA AIRPORT NY US,20140314,0,0,0,0,2014-03-14
257,NEW YORK LAGUARDIA AIRPORT NY US,20140315,0,0,0,0,2014-03-15
258,NEW YORK LAGUARDIA AIRPORT NY US,20140316,0,0,0,0,2014-03-16
259,NEW YORK LAGUARDIA AIRPORT NY US,20140317,0,0,0,0,2014-03-17
260,NEW YORK LAGUARDIA AIRPORT NY US,20140318,0,0,0,0,2014-03-18
261,NEW YORK LAGUARDIA AIRPORT NY US,20140319,251,0,0,1,2014-03-19
262,NEW YORK LAGUARDIA AIRPORT NY US,20140320,0,0,0,0,2014-03-20
263,NEW YORK LAGUARDIA AIRPORT NY US,20140321,0,0,0,0,2014-03-21
264,NEW YORK LAGUARDIA AIRPORT NY US,20140322,0,0,0,0,2014-03-22
265,NEW YORK LAGUARDIA AIRPORT NY US,20140323,0,0,0,0,2014-03-23
266,NEW YORK LAGUARDIA AIRPORT NY US,20140324,0,0,0,0,2014-03-24
267,NEW YORK LAGUARDIA AIRPORT NY US,20140325,0,0,0,0,2014-03-25
268,NEW YORK LAGUARDIA AIRPORT NY US,20140326,0,0,0,0,2014-03-26
269,NEW YORK LAGUARDIA AIRPORT NY US,20140327,0,0,0,0,2014-03-27
270,NEW YORK LAGUARDIA AIRPORT NY US,20140328,8,0,0,1,2014-03-28
271,NEW YORK LAGUARDIA AIRPORT NY US,20140329,455,0,0,1,2014-03-29
272,NEW YORK LAGUARDIA AIRPORT NY US,20140330,94,0,0,1,2014-03-30
273,NEW YORK LAGUARDIA AIRPORT NY US,20140331,30,0,0,1,2014-03-31
274,NEW YORK LAGUARDIA AIRPORT NY US,20140401,0,0,0,0,2014-04-01
275,NEW YORK LAGUARDIA AIRPORT NY US,20140402,0,0,0,0,2014-04-02
276,NEW YORK LAGUARDIA AIRPORT NY US,20140403,18,0,0,1,2014-04-03
277,NEW YORK LAGUARDIA AIRPORT NY US,20140404,48,0,0,1,2014-04-04
278,NEW YORK LAGUARDIA AIRPORT NY US,20140405,0,0,0,0,2014-04-05
279,NEW YORK LAGUARDIA AIRPORT NY US,20140406,0,0,0,0,2014-04-06
280,NEW YORK LAGUARDIA AIRPORT NY US,20140407,168,0,0,1,2014-04-07
281,NEW YORK LAGUARDIA AIRPORT NY US,20140408,86,0,0,1,2014-04-08
282,NEW YORK LAGUARDIA AIRPORT NY US,20140409,0,0,0,0,2014-04-09
283,NEW YORK LAGUARDIA AIRPORT NY US,20140410,0,0,0,0,2014-04-10
284,NEW YORK LAGUARDIA AIRPORT NY US,20140411,0,0,0,0,2014-04-11
285,NEW YORK LAGUARDIA AIRPORT NY US,20140412,0,0,0,0,2014-04-12
286,NEW YORK LAGUARDIA AIRPORT NY US,20140413,0,0,0,0,2014-04-13
287,NEW YORK LAGUARDIA AIRPORT NY US,20140414,0,0,0,0,2014-04-14
288,NEW YORK LAGUARDIA AIRPORT NY US,20140415,221,0,3,1,2014-04-15
289,NEW YORK LAGUARDIA AIRPORT NY US,20140416,13,0,5,1,2014-04-16
290,NEW YORK LAGUARDIA AIRPORT NY US,20140417,0,0,0,0,2014-04-17
291,NEW YORK LAGUARDIA AIRPORT NY US,20140418,0,0,0,0,2014-04-18
292,NEW YORK LAGUARDIA AIRPORT NY US,20140419,0,0,0,0,2014-04-19
293,NEW YORK LAGUARDIA AIRPORT NY US,20140420,0,0,0,0,2014-04-20
294,NEW YORK LAGUARDIA AIRPORT NY US,20140421,0,0,0,0,2014-04-21
295,NEW YORK LAGUARDIA AIRPORT NY US,20140422,0,0,0,0,2014-04-22
296,NEW YORK LAGUARDIA AIRPORT NY US,20140423,0,0,0,0,2014-04-23
297,NEW YORK LAGUARDIA AIRPORT NY US,20140424,0,0,0,0,2014-04-24
298,NEW YORK LAGUARDIA AIRPORT NY US,20140425,0,0,0,0,2014-04-25
299,NEW YORK LAGUARDIA AIRPORT NY US,20140426,193,0,0,1,2014-04-26
300,NEW YORK LAGUARDIA AIRPORT NY US,20140427,0,0,0,0,2014-04-27
301,NEW YORK LAGUARDIA AIRPORT NY US,20140428,0,0,0,0,2014-04-28
302,NEW YORK LAGUARDIA AIRPORT NY US,20140429,8,0,0,1,2014-04-29
303,NEW YORK LAGUARDIA AIRPORT NY US,20140430,1336,0,0,1,2014-04-30
304,NEW YORK LAGUARDIA AIRPORT NY US,20140501,38,0,0,1,2014-05-01
305,NEW YORK LAGUARDIA AIRPORT NY US,20140502,0,0,0,0,2014-05-02
306,NEW YORK LAGUARDIA AIRPORT NY US,20140503,8,0,0,1,2014-05-03
307,NEW YORK LAGUARDIA AIRPORT NY US,20140504,0,0,0,0,2014-05-04
308,NEW YORK LAGUARDIA AIRPORT NY US,20140505,0,0,0,0,2014-05-05
